driverId,week,hours-logged,miles-logged
183,23,80,2600
39,10,78,900
388,27,62,3300
735,47,53,3800
861,24,71,2100
261,5,50,3500
364,28,58,2000
384,5,55,2900
602,36,75,1500
981,41,50,1700
639,48,72,3500
435,10,73,0
640,27,57,2800
278,33,72,900
667,13,65,2900
456,35,68,2100
62,24,60,2900
591,4,52,3900
366,47,73,1500
103,26,69,3800
362,42,71,3100
529,48,56,2200
86,22,60,3100
906,25,52,3600
233,21,55,0
778,31,55,1100
441,32,65,2200
714,45,78,3400
218,4,69,4000
527,5,72,3100
181,14,65,1400
665,27,69,1300
444,32,60,1000
225,3,54,0
419,6,62,300
61,16,54,200
955,24,56,2000
228,35,53,200
159,8,73,3500
27,47,50,800
482,22,67,3000
670,45,79,3600
768,33,74,3000
877,9,54,3100
945,23,56,1200
993,21,51,1400
677,5,58,4000
278,44,63,1000
572,31,51,1800
681,1,50,2500
953,34,71,3200
76,27,58,1500
846,24,69,3800
756,39,51,1800
806,34,55,800
354,10,72,2500
849,18,54,3100
1003,36,71,500
908,24,78,2800
954,3,79,3500
944,32,79,1800
134,48,75,2000
390,13,65,1900
745,32,66,2400
152,26,55,400
685,21,66,3700
981,26,68,3400
689,29,71,1300
966,36,54,600
147,28,66,200
628,36,75,4000
54,29,58,700
347,9,54,700
862,23,66,1600
1000,16,66,1600
252,33,57,4000
253,37,54,2900
443,44,63,3200
124,3,62,900
914,48,52,2900
791,20,67,2000
854,37,59,3000
881,19,72,4000
40,13,67,100
1005,36,63,1300
47,48,56,3000
419,51,63,1300
68,5,51,700
10,3,51,2100
571,15,59,4000
382,41,76,1300
635,22,75,1400
147,25,74,3600
544,34,55,2700
660,15,50,3800
632,22,60,2200
518,8,57,2200
203,29,72,500
868,38,58,1900
908,33,72,2900
592,46,67,500
653,12,80,2500
884,39,74,2500
66,15,65,3400
675,19,58,3100
414,46,72,2400
347,16,54,400
489,23,73,1800
665,16,58,1700
716,35,58,3300
984,7,70,1400
658,41,72,2100
489,29,68,1700
931,25,51,300
143,34,57,2900
248,19,59,3500
311,48,55,2500
875,41,53,300
32,5,60,300
141,33,64,1900
459,18,77,2700
365,1,53,2800
113,33,54,1400
103,39,55,1800
35,5,77,1500
589,26,64,1100
660,42,54,2800
283,28,59,1000
955,13,63,1400
908,48,77,2500
585,27,56,3600
283,23,59,2800
762,45,71,3700
977,36,65,0
710,12,78,2700
670,28,64,2800
87,36,72,100
743,52,73,1300
777,27,60,2600
1007,1,60,3800
576,1,68,1800
570,20,72,2300
709,38,73,400
29,5,73,2400
185,27,73,200
638,42,57,3800
248,13,64,2100
895,3,64,3600
811,29,66,2500
337,11,75,3200
899,35,67,2800
721,46,60,500
592,4,74,3900
952,36,65,1200
802,23,79,3500
121,9,57,4000
393,9,71,1400
566,52,50,4000
523,21,56,400
58,4,65,3000
148,29,50,0
640,51,67,500
84,35,72,1000
758,15,58,2000
649,45,68,3200
127,43,73,3600
319,30,54,3400
528,23,59,700
495,44,64,3200
271,29,50,2900
283,28,70,2500
273,43,73,100
201,51,67,200
740,21,52,400
626,31,60,1500
33,25,80,3800
272,46,51,3600
586,24,59,2600
463,44,80,700
826,29,58,2300
134,49,64,600
699,17,68,700
982,34,52,2200
753,43,69,3300
816,22,59,3600
294,18,57,1900
979,14,73,3700
480,50,51,200
63,30,77,900
379,2,71,3100
46,35,74,1900
726,8,74,1000
947,17,61,600
475,16,65,2500
764,15,68,2800
401,6,71,2600
589,34,69,2300
645,41,56,100
45,39,67,600
97,9,57,700
726,32,57,200
937,3,64,2600
294,28,79,2700
447,43,51,2800
305,26,78,600
375,15,54,1400
246,43,76,1700
821,3,59,1700
627,50,58,400
965,30,68,3900
743,8,63,3900
901,16,68,500
933,9,70,1100
881,34,64,100
778,15,63,2100
476,6,80,900
98,14,58,2500
159,20,60,3000
849,24,67,3600
66,21,66,100
92,21,63,1600
85,39,56,3700
523,13,51,1100
1002,27,73,3500
817,3,57,2200
962,23,74,500
129,49,79,4000
24,2,65,1900
36,24,59,2200
568,16,75,3600
836,13,61,2300
882,8,78,2500
725,26,65,2100
591,17,61,4000
150,37,61,600
535,35,71,3400
285,46,56,1900
287,5,61,300
71,2,53,1700
514,41,62,3400
182,26,75,3200
11,51,79,600
676,38,71,1500
407,36,78,3900
760,10,52,0
511,7,61,2300
408,11,77,1200
600,41,61,3000
32,17,57,1100
672,45,59,3200
518,11,64,1300
957,8,50,900
657,47,78,1900
373,18,56,1500
849,2,80,200
147,38,52,700
745,9,62,1700
842,52,71,700
783,30,69,2800
296,47,62,1600
892,28,57,2900
877,2,78,1700
1003,20,71,3100
508,35,78,3800
992,20,55,3000
514,30,75,1700
650,43,55,3400
343,20,69,0
571,40,54,2800
42,23,79,2100
94,49,54,1700
852,2,61,2700
847,42,78,4000
908,28,80,1700
859,23,79,3300
232,23,54,2000
958,45,76,700
880,45,52,3800
977,42,73,1600
1005,34,55,2200
688,6,58,1400
922,8,64,1600
821,25,66,1800
28,19,51,2900
624,28,75,2300
42,33,60,2300
667,47,73,500
767,45,68,2100
484,32,62,400
364,5,52,2100
265,40,62,1100
274,13,54,1100
860,49,72,0
452,40,69,2700
755,9,58,3300
763,21,52,3200
459,40,50,1600
755,46,65,3900
615,21,68,2400
447,16,76,3200
896,40,71,0
205,7,75,2100
121,45,66,1900
41,28,69,0
710,8,76,3100
508,40,75,700
733,39,70,3300
713,31,75,3900
954,37,75,3900
355,7,50,3900
355,33,51,600
854,32,50,2300
121,39,52,3000
491,52,77,400
392,30,53,1700
706,49,61,200
953,52,50,2400
442,36,66,300
171,9,65,400
413,25,67,700
155,51,80,2000
340,45,80,2400
920,48,76,1600
575,5,54,2900
880,43,64,300
523,15,63,3600
797,9,78,3600
686,3,58,1200
721,36,55,1400
1003,30,73,2100
856,50,72,3500
509,49,65,3800
693,27,74,400
149,9,60,700
908,33,69,1100
53,46,53,500
688,20,54,1600
982,34,72,0
402,36,77,4000
831,27,80,3600
867,47,57,300
360,38,58,3000
386,8,75,1900
91,7,50,1400
729,47,53,900
69,34,53,4000
968,46,68,2400
917,31,71,2700
186,28,54,3900
110,2,54,800
889,39,67,3900
728,21,73,3700
420,21,62,500
781,5,63,2200
633,49,74,1200
371,47,53,2800
793,47,69,400
116,19,56,0
854,48,54,400
544,4,54,900
262,29,75,300
41,49,65,300
839,32,73,2400
142,3,53,2900
86,37,71,3300
842,30,55,500
278,32,56,2500
961,19,80,2500
143,25,67,3700
886,12,74,900
911,50,58,3300
483,44,58,2400
256,22,70,400
324,46,50,2700
431,44,55,3200
173,24,59,1800
974,51,71,2900
247,13,60,1000
276,29,65,1700
716,32,59,2500
441,1,72,4000
400,49,57,800
408,20,66,100
413,19,69,1300
559,43,67,3800
73,36,63,400
289,6,54,300
189,37,63,1900
601,49,75,1900
159,51,50,3000
61,25,71,3100
720,33,66,2300
543,20,69,1700
596,46,65,2200
784,6,51,1800
484,11,60,2000
147,8,72,100
620,21,50,3800
488,35,53,1200
623,32,55,1800
59,19,69,3400
952,38,55,1400
836,33,60,2600
243,49,67,400
361,15,52,100
381,39,69,900
593,24,63,2900
90,48,67,600
131,29,77,1400
84,4,50,1200
56,2,53,1100
487,1,76,3100
680,1,73,3700
269,27,79,2000
351,44,71,2600
658,6,58,1100
145,7,59,2900
772,22,51,2300
24,42,60,3300
627,2,55,3400
1003,35,52,1100
100,23,50,600
228,38,73,100
376,52,52,2900
43,23,75,1100
460,39,68,0
15,27,58,2700
980,35,55,3800
802,24,70,800
897,1,67,1500
875,25,70,3200
670,46,78,2100
857,30,54,200
407,6,66,200
461,16,67,900
327,27,71,1000
185,32,59,900
805,2,55,3400
340,24,50,2400
860,22,55,2800
596,50,63,900
42,10,72,3200
305,40,72,3300
305,42,66,1400
60,20,75,1400
257,9,57,2000
944,5,74,2000
22,13,73,1500
416,39,75,0
732,46,63,200
628,36,68,2900
432,42,64,500
641,31,73,1500
118,26,66,2800
967,44,76,2500
625,45,74,600
147,12,70,2500
403,43,74,2400
420,31,56,1300
298,23,77,300
318,52,70,3500
712,29,67,1500
883,16,74,1800
188,8,63,900
943,27,54,400
191,40,70,3800
920,40,55,500
904,31,76,3200
669,20,60,2100
918,52,67,1800
244,6,71,2200
248,9,57,3100
118,51,54,1700
261,30,54,2500
557,38,79,2400
164,12,69,3800
73,17,55,900
311,44,72,2600
421,2,58,1900
995,32,66,3100
591,15,80,200
33,51,54,1700
770,11,80,1900
263,48,62,2600
577,30,67,1000
729,50,57,3400
690,15,63,2600
222,24,67,3400
551,22,59,3700
42,13,66,2800
610,45,79,0
293,35,50,1500
66,51,71,4000
671,33,71,1900
909,8,59,1500
207,7,79,3800
626,18,67,2200
369,31,59,2600
156,8,71,900
794,14,59,2500
11,51,74,1900
359,31,62,600
770,29,79,3500
1000,45,79,1600
208,43,64,2600
665,4,65,100
565,35,61,500
174,27,63,2800
471,46,53,2700
655,24,72,3400
980,50,76,1600
261,10,78,200
981,22,66,3500
419,17,54,3100
386,48,52,2400
678,1,73,600
449,36,51,3900
876,42,78,3100
296,39,71,3100
353,33,69,500
382,30,58,1800
44,20,59,2400
813,6,58,3100
855,3,69,1500
516,27,61,1900
642,21,60,2500
994,20,64,2700
687,39,69,600
547,20,78,3000
449,13,74,200
348,32,70,500
419,6,63,2800
34,14,58,500
793,43,56,300
843,43,72,3700
800,23,62,3800
40,4,80,1700
757,14,72,100
188,28,51,800
660,26,73,3900
56,51,69,2400
144,15,51,1500
894,8,78,1900
30,42,73,2500
823,23,53,1100
654,10,51,1700
726,4,73,1800
256,39,79,3200
889,18,59,2600
938,39,74,2000
750,43,71,2700
51,1,50,2400
498,9,51,3400
920,46,54,1200
801,31,70,2700
347,4,64,2100
373,40,61,2000
878,4,78,3700
113,17,74,2700
10,40,54,1300
878,46,72,1500
312,45,52,1900
352,14,73,1000
980,23,53,3600
295,46,70,3600
663,14,71,2400
312,47,80,1900
900,25,65,1800
307,48,71,3100
339,5,70,2100
861,11,70,2200
650,17,56,3700
426,22,77,1500
991,52,67,1500
35,6,67,1600
907,38,70,1000
430,50,75,200
201,40,61,1000
439,5,76,1200
20,10,62,3800
621,45,74,3900
36,48,69,1000
94,7,60,3200
550,41,56,3900
671,30,55,600
343,38,56,3200
553,29,73,3600
463,18,52,4000
660,51,53,2200
16,24,80,800
748,44,74,2400
724,22,71,2800
963,47,74,3000
360,5,69,3700
437,39,61,2300
844,30,53,900
595,45,70,4000
746,8,69,1200
292,23,75,2900
471,44,71,3700
386,52,50,1600
504,15,75,500
63,19,60,100
184,8,80,3200
895,51,56,3200
629,49,60,1700
876,44,68,300
417,43,56,1200
609,6,68,300
518,42,64,1200
612,42,68,3900
355,49,58,900
472,26,71,900
326,30,71,1400
895,15,67,3200
96,14,56,0
623,12,52,3400
454,26,71,4000
266,28,66,2100
188,3,51,3800
327,23,61,1100
465,11,78,1400
570,16,75,0
618,1,64,1000
179,31,74,3600
642,31,65,600
10,42,71,2600
823,7,77,3800
830,45,57,1800
573,48,74,3000
203,42,54,1900
211,27,73,1200
18,19,79,900
999,27,64,3600
170,46,65,2300
470,47,74,1600
258,26,75,3200
48,41,64,2400
881,41,61,1600
231,32,71,700
65,22,77,2300
664,23,80,2700
758,11,67,2000
218,52,53,2100
991,33,80,3500
197,39,69,0
44,6,76,300
44,4,80,1100
552,38,50,1700
731,28,78,200
938,8,64,400
302,26,54,3600
84,46,62,2300
244,18,77,0
900,48,77,2700
14,31,54,2600
235,47,69,200
68,1,51,300
226,10,66,3800
984,30,51,1100
539,2,65,3600
341,47,65,700
916,34,76,1000
765,1,67,4000
689,31,62,3500
357,40,59,1800
78,28,72,700
956,6,52,3700
673,16,50,1400
126,30,65,4000
889,21,60,3000
366,42,51,3600
720,13,54,1400
963,18,73,1600
114,38,68,900
891,18,78,2700
404,29,80,2200
898,52,53,1800
224,37,80,1200
684,17,64,300
570,1,66,2800
178,21,77,1900
899,18,78,3200
384,35,71,3700
577,25,74,600
675,52,50,2900
290,10,73,200
177,30,78,1300
768,23,60,2900
823,25,65,3100
141,32,62,1000
220,1,55,2700
102,26,80,900
133,39,60,3500
950,13,65,2100
614,36,76,2500
131,18,80,1900
